"DATE","YEARMODA","Weather_Station","Year","Month","Day","JDay","Tmin","Tmax","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
2010-01-01 12:00:00,20100101,"Quillota",2010,1,1,1,6.2,31,NA,NA,FALSE,FALSE
2010-01-02 12:00:00,20100102,"Quillota",2010,1,2,2,7.6,29.4,NA,NA,FALSE,FALSE
2010-01-03 12:00:00,20100103,"Quillota",2010,1,3,3,12.2,23.2,NA,NA,FALSE,FALSE
2010-01-04 12:00:00,20100104,"Quillota",2010,1,4,4,8,24,NA,NA,FALSE,FALSE
2010-01-05 12:00:00,20100105,"Quillota",2010,1,5,5,8,26.5,NA,NA,FALSE,FALSE
2010-01-06 12:00:00,20100106,"Quillota",2010,1,6,6,9,27,NA,NA,FALSE,FALSE
2010-01-07 12:00:00,20100107,"Quillota",2010,1,7,7,8.5,24,NA,NA,FALSE,FALSE
2010-01-08 12:00:00,20100108,"Quillota",2010,1,8,8,7,28,NA,NA,FALSE,FALSE
2010-01-09 12:00:00,20100109,"Quillota",2010,1,9,9,8,28,NA,NA,FALSE,FALSE
2010-01-10 12:00:00,20100110,"Quillota",2010,1,10,10,8,24,NA,NA,FALSE,FALSE
2010-01-11 12:00:00,20100111,"Quillota",2010,1,11,11,7,22,NA,NA,FALSE,FALSE
2010-01-12 12:00:00,20100112,"Quillota",2010,1,12,12,6,30,NA,NA,FALSE,FALSE
2010-01-13 12:00:00,20100113,"Quillota",2010,1,13,13,7,30.5,NA,NA,FALSE,FALSE
2010-01-14 12:00:00,20100114,"Quillota",2010,1,14,14,8,24,NA,NA,FALSE,FALSE
2010-01-15 12:00:00,20100115,"Quillota",2010,1,15,15,12,23,NA,NA,FALSE,FALSE
2010-01-16 12:00:00,20100116,"Quillota",2010,1,16,16,9,21.5,NA,NA,FALSE,FALSE
2010-01-17 12:00:00,20100117,"Quillota",2010,1,17,17,8,24,NA,NA,FALSE,FALSE
2010-01-18 12:00:00,20100118,"Quillota",2010,1,18,18,10,24,NA,NA,FALSE,FALSE
2010-01-19 12:00:00,20100119,"Quillota",2010,1,19,19,7,28,NA,NA,FALSE,FALSE
2010-01-20 12:00:00,20100120,"Quillota",2010,1,20,20,9,34,NA,NA,FALSE,FALSE
2010-01-21 12:00:00,20100121,"Quillota",2010,1,21,21,10,25,NA,NA,FALSE,FALSE
2010-01-22 12:00:00,20100122,"Quillota",2010,1,22,22,11,25.4,NA,NA,FALSE,FALSE
2010-01-23 12:00:00,20100123,"Quillota",2010,1,23,23,9,24.2,NA,NA,FALSE,FALSE
2010-01-24 12:00:00,20100124,"Quillota",2010,1,24,24,10,25.2,NA,NA,FALSE,FALSE
2010-01-25 12:00:00,20100125,"Quillota",2010,1,25,25,11,24,NA,NA,FALSE,FALSE
2010-01-26 12:00:00,20100126,"Quillota",2010,1,26,26,9.8,25.5,NA,NA,FALSE,FALSE
2010-01-27 12:00:00,20100127,"Quillota",2010,1,27,27,11.5,26,NA,NA,FALSE,FALSE
2010-01-28 12:00:00,20100128,"Quillota",2010,1,28,28,8.8,24,NA,NA,FALSE,FALSE
2010-01-29 12:00:00,20100129,"Quillota",2010,1,29,29,7.6,25,NA,NA,FALSE,FALSE
2010-01-30 12:00:00,20100130,"Quillota",2010,1,30,30,9,26,NA,NA,FALSE,FALSE
2010-01-31 12:00:00,20100131,"Quillota",2010,1,31,31,8,29,NA,NA,FALSE,FALSE
2010-02-01 12:00:00,20100201,"Quillota",2010,2,1,32,7.36,26.4,NA,NA,FALSE,FALSE
2010-02-02 12:00:00,20100202,"Quillota",2010,2,2,33,6.8,23.2,NA,NA,FALSE,FALSE
2010-02-03 12:00:00,20100203,"Quillota",2010,2,3,34,6.36,27.2,NA,NA,FALSE,FALSE
2010-02-04 12:00:00,20100204,"Quillota",2010,2,4,35,7.64,29.2,NA,NA,FALSE,FALSE
2010-02-05 12:00:00,20100205,"Quillota",2010,2,5,36,7.36,24,NA,NA,FALSE,FALSE
2010-02-06 12:00:00,20100206,"Quillota",2010,2,6,37,5.6,27.4,NA,NA,FALSE,FALSE
2010-02-07 12:00:00,20100207,"Quillota",2010,2,7,38,8.2,28.2,NA,NA,FALSE,FALSE
2010-02-08 12:00:00,20100208,"Quillota",2010,2,8,39,8.82,33.2,NA,NA,FALSE,FALSE
2010-02-09 12:00:00,20100209,"Quillota",2010,2,9,40,9.18,31,NA,NA,FALSE,FALSE
2010-02-10 12:00:00,20100210,"Quillota",2010,2,10,41,9.91,27.4,NA,NA,FALSE,FALSE
2010-02-11 12:00:00,20100211,"Quillota",2010,2,11,42,9.55,24,NA,NA,FALSE,FALSE
2010-02-12 12:00:00,20100212,"Quillota",2010,2,12,43,9.18,27.8,NA,NA,FALSE,FALSE
2010-02-13 12:00:00,20100213,"Quillota",2010,2,13,44,11,32.6,NA,NA,FALSE,FALSE
2010-02-14 12:00:00,20100214,"Quillota",2010,2,14,45,8,26,NA,NA,FALSE,FALSE
2010-02-15 12:00:00,20100215,"Quillota",2010,2,15,46,7.18,26,NA,NA,FALSE,FALSE
2010-02-16 12:00:00,20100216,"Quillota",2010,2,16,47,8.91,25,NA,NA,FALSE,FALSE
2010-02-17 12:00:00,20100217,"Quillota",2010,2,17,48,10.6,24.2,NA,NA,FALSE,FALSE
2010-02-18 12:00:00,20100218,"Quillota",2010,2,18,49,6.18,25.6,NA,NA,FALSE,FALSE
2010-02-19 12:00:00,20100219,"Quillota",2010,2,19,50,8.91,30.4,NA,NA,FALSE,FALSE
2010-02-20 12:00:00,20100220,"Quillota",2010,2,20,51,8.36,29.2,NA,NA,FALSE,FALSE
2010-02-21 12:00:00,20100221,"Quillota",2010,2,21,52,8.91,23.2,NA,NA,FALSE,FALSE
2010-02-22 12:00:00,20100222,"Quillota",2010,2,22,53,8.2,23,NA,NA,FALSE,FALSE
2010-02-23 12:00:00,20100223,"Quillota",2010,2,23,54,6.18,25.8,NA,NA,FALSE,FALSE
2010-02-24 12:00:00,20100224,"Quillota",2010,2,24,55,6.73,23,NA,NA,FALSE,FALSE
2010-02-25 12:00:00,20100225,"Quillota",2010,2,25,56,10.6,24.4,NA,NA,FALSE,FALSE
2010-02-26 12:00:00,20100226,"Quillota",2010,2,26,57,6.4,26.2,NA,NA,FALSE,FALSE
2010-02-27 12:00:00,20100227,"Quillota",2010,2,27,58,5.8,25.8,NA,NA,FALSE,FALSE
2010-02-28 12:00:00,20100228,"Quillota",2010,2,28,59,8.4,23.2,NA,NA,FALSE,FALSE
2010-03-01 12:00:00,20100301,"Quillota",2010,3,1,60,8.4,23,NA,NA,FALSE,FALSE
2010-03-02 12:00:00,20100302,"Quillota",2010,3,2,61,10.4,26.8,NA,NA,FALSE,FALSE
2010-03-03 12:00:00,20100303,"Quillota",2010,3,3,62,8,24,NA,NA,FALSE,FALSE
2010-03-04 12:00:00,20100304,"Quillota",2010,3,4,63,7,27,NA,NA,FALSE,FALSE
2010-03-05 12:00:00,20100305,"Quillota",2010,3,5,64,8,28.2,NA,NA,FALSE,FALSE
2010-03-06 12:00:00,20100306,"Quillota",2010,3,6,65,8,26.2,NA,NA,FALSE,FALSE
2010-03-07 12:00:00,20100307,"Quillota",2010,3,7,66,13.4,22,NA,NA,FALSE,FALSE
2010-03-08 12:00:00,20100308,"Quillota",2010,3,8,67,9,29,NA,NA,FALSE,FALSE
2010-03-09 12:00:00,20100309,"Quillota",2010,3,9,68,5.8,26,NA,NA,FALSE,FALSE
2010-03-10 12:00:00,20100310,"Quillota",2010,3,10,69,7,22.8,NA,NA,FALSE,FALSE
2010-03-11 12:00:00,20100311,"Quillota",2010,3,11,70,10,20,NA,NA,FALSE,FALSE
2010-03-12 12:00:00,20100312,"Quillota",2010,3,12,71,13.2,23.6,NA,NA,FALSE,FALSE
2010-03-13 12:00:00,20100313,"Quillota",2010,3,13,72,9,24.2,NA,NA,FALSE,FALSE
2010-03-14 12:00:00,20100314,"Quillota",2010,3,14,73,7.34,27.7,NA,NA,FALSE,FALSE
2010-03-15 12:00:00,20100315,"Quillota",2010,3,15,74,8.2,23,NA,NA,FALSE,FALSE
2010-03-16 12:00:00,20100316,"Quillota",2010,3,16,75,11.8,19,NA,NA,FALSE,FALSE
2010-03-17 12:00:00,20100317,"Quillota",2010,3,17,76,14,24.4,NA,NA,FALSE,FALSE
2010-03-18 12:00:00,20100318,"Quillota",2010,3,18,77,7.02,24.4,NA,NA,FALSE,FALSE
2010-03-19 12:00:00,20100319,"Quillota",2010,3,19,78,7.58,27.6,NA,NA,FALSE,FALSE
2010-03-20 12:00:00,20100320,"Quillota",2010,3,20,79,10,24.4,NA,NA,FALSE,FALSE
2010-03-21 12:00:00,20100321,"Quillota",2010,3,21,80,7,27,NA,NA,FALSE,FALSE
2010-03-22 12:00:00,20100322,"Quillota",2010,3,22,81,6,25.6,NA,NA,FALSE,FALSE
2010-03-23 12:00:00,20100323,"Quillota",2010,3,23,82,4.6,29.8,NA,NA,FALSE,FALSE
2010-03-24 12:00:00,20100324,"Quillota",2010,3,24,83,7,27.2,NA,NA,FALSE,FALSE
2010-03-25 12:00:00,20100325,"Quillota",2010,3,25,84,8,25.4,NA,NA,FALSE,FALSE
2010-03-26 12:00:00,20100326,"Quillota",2010,3,26,85,10,26.8,NA,NA,FALSE,FALSE
2010-03-27 12:00:00,20100327,"Quillota",2010,3,27,86,6.5,26.6,NA,NA,FALSE,FALSE
2010-03-28 12:00:00,20100328,"Quillota",2010,3,28,87,9,24.4,NA,NA,FALSE,FALSE
2010-03-29 12:00:00,20100329,"Quillota",2010,3,29,88,9,27.8,NA,NA,FALSE,FALSE
2010-03-30 12:00:00,20100330,"Quillota",2010,3,30,89,5,25,NA,NA,FALSE,FALSE
2010-03-31 12:00:00,20100331,"Quillota",2010,3,31,90,8.8,20.6,NA,NA,FALSE,FALSE
2010-04-01 12:00:00,20100401,"Quillota",2010,4,1,91,10.81,26,NA,NA,FALSE,FALSE
2010-04-02 12:00:00,20100402,"Quillota",2010,4,2,92,5.8,28.2,NA,NA,FALSE,FALSE
2010-04-03 12:00:00,20100403,"Quillota",2010,4,3,93,5.41,27.2,NA,NA,FALSE,FALSE
2010-04-04 12:00:00,20100404,"Quillota",2010,4,4,94,4.88,25.2,NA,NA,FALSE,FALSE
2010-04-05 12:00:00,20100405,"Quillota",2010,4,5,95,7.4,16.6,NA,NA,FALSE,FALSE
